misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
1120,538080,312,12.25763009,1.388955819606781,-0.00326223149895668,8.635134518146515
1140,547680,311,11.58885292,1.3888591051101684,-0.002628270536661148,2.919949543476105
1160,557280,311,11.3703602,1.38936448097229,-0.0028921861201524736,3.5505441665649413
1180,566880,310,13.83132115,1.3888812899589538,0.0014776872470974923,6.9748921394348145
1200,576480,310,11.24415897,1.3893975138664245,-0.001963440515100956,3.587271308898926
1220,586080,309,8.32930148,1.3898814082145692,-0.007217071205377579,27.319160962104796
1240,595680,309,13.83501637,1.3894681334495544,-0.003667907789349556,23.74507034122944
1260,605280,308,15.137294390000001,1.3886512875556947,-0.011099898535758258,2.0333750396966934
1280,614880,308,7.440481929999999,1.3883368968963623,-0.006700090668164194,25.771740913391113
1300,624480,307,13.526076660000001,1.3890582919120789,0.004569550603628158,6.225719708204269
1320,634080,306,15.59129997,1.3887849569320678,-0.0008633106946945191,8.119856965541839
1340,643680,306,14.00355894,1.3890633225440978,-0.0016574066132307053,5.73238228559494
1360,653280,305,10.549109780000002,1.3884671807289124,-0.002752591297030449,15.669132232666016
1380,662880,305,11.11422068,1.3884785175323486,-0.0008010781137272715,1.0615566104650498
1400,672480,305,17.60351388,1.3885355234146117,-0.0028223276138305666,15.41985825896263
1420,682080,305,15.30424133,1.3880605816841125,-0.004687981307506561,12.721464586257934
1440,691680,305,13.81073038,1.3873637676239015,-0.005330220703035593,1.4979848980903625
1460,701280,305,13.79371249,1.386045753955841,0.00484442007727921,2.092038223147392
1480,710880,304,17.44657985,1.3858593463897706,0.0006056693382561207,5.318637907505035
1500,720480,303,13.631238569999999,1.3862662315368652,-0.01182104293256998,1.9159803807735443
1520,730080,303,13.23031209,1.3864193677902221,-0.008191464468836784,1.5213796973228455
1540,739680,303,12.793527669999998,1.3854727268218994,0.0019586727023124693,5.362766623497009
1560,749280,303,11.61539165,1.3842163562774659,0.001196933537721634,17.87741555571556
1580,758880,303,14.490007799999999,1.3847932696342469,0.007801684364676475,10.6179423391819
1600,768480,302,11.530232659999998,1.3865586996078492,-0.0008643312861750019,4.002355313301086
1620,778080,302,12.740232820000001,1.386009895801544,-0.0014022789895534516,11.34840531349182
1640,787680,302,10.128739070000002,1.3854342222213745,-0.0016573548628002754,6.451933908462524
1660,797280,302,15.932645379999997,1.3847681283950806,-0.006302284961566329,6.250040674209595
1680,806880,302,13.808044279999999,1.38359375,-0.003777044313028455,19.9907994389534
1700,816480,301,13.40662379,1.3838804841041565,0.00837304424494505,26.441545325517655
1720,826080,301,11.960637629999999,1.382530641555786,-0.0048209987580776215,11.742959892749786
1740,835680,301,10.131718400000002,1.3818932056427002,-0.017117828293703497,11.772373473644256
1760,845280,301,12.728548920000003,1.380948507785797,0.0012432679533958435,4.235113131999969
1780,854880,302,13.731889680000002,1.3801638245582581,-0.008277177810668945,18.061642569303512
1800,864480,301,8.55410329,1.3794673562049866,0.00972427725791931,3.3353219985961915
1820,874080,301,15.096516840000001,1.378160297870636,0.0005746320821344852,15.18332239985466
1840,883680,301,8.47044665,1.3777527332305908,-0.0004063804168254137,8.999866831302644
1860,893280,300,16.7500982,1.378115725517273,-0.004153151504579,2.8713804870843886
1880,902880,300,16.66715633,1.3767810463905334,-0.0007212024182081222,6.5983940184116365
1900,912480,300,16.06218253,1.3773030519485474,0.0039924755692481995,4.672219097614288
1920,922080,300,19.013799310000003,1.377593469619751,-0.002279742993414402,7.805704259872437
1940,931680,300,19.38132067,1.3786935091018677,-0.00485044028609991,0.8147123217582702
1960,941280,300,14.787361500000001,1.378205919265747,-0.007289266586303711,1.8825632333755493
1980,950880,300,17.348470600000002,1.3769341588020325,-0.007806637091562152,7.831221508979797
2000,960480,300,11.245493949999998,1.3766180992126464,-0.0031106747221201657,3.5249037981033324
2020,970080,300,14.24650671,1.3765388131141663,0.0002740182913839817,11.477719688415528
2040,979680,300,9.22413293,1.3769174098968506,0.001957051083445549,15.764709615707398
