misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
6400,3072480,288,14.75560223,1.378358793258667,-0.0029182644560933114,13.239898514747619
6420,3082080,288,15.092238280000002,1.3780773282051086,-0.006143702194094658,15.81966552734375
6440,3091680,288,12.20041014,1.3779020071029664,-0.003457523137331009,5.088345092535019
6460,3101280,288,14.346679240000004,1.37754328250885,-0.004369801562279463,19.795207488536835
6480,3110880,288,17.39265563,1.3770236849784852,-0.004354052059352398,3.663630646467209
6500,3120480,288,20.09422499,1.376364493370056,-0.004200831614434719,1.3470972567796706
6520,3130080,288,11.36421133,1.376755380630493,-0.002605096995830536,12.559045097231865
6540,3139680,288,10.587396309999999,1.3766795992851257,-0.0029909432865679263,1.9276578664779662
6560,3149280,288,13.66103569,1.3758593916893005,-0.011678338795900346,1.5584364622831344
6580,3158880,288,13.427303369999999,1.3735384225845337,-0.0005682967603206635,4.765173947811126
6600,3168480,288,13.374918200000002,1.3720842123031616,-0.005859742086613551,3.8480117082595826
6620,3178080,288,11.28623276,1.3719035387039185,0.0012955066747963428,1.9846448600292206
6640,3187680,288,13.50281233,1.372039008140564,0.0004441330209374428,25.7534166097641
6660,3197280,288,11.945635100000002,1.371401047706604,-0.00646820345427841,0.48284411132335664
6680,3206880,288,17.3187077,1.3709615349769593,-0.009838366135954856,0.28660422265529634
6700,3216480,288,13.189800859999997,1.3699501156806946,0.00218636617064476,11.548495948314667
6720,3226080,288,15.128084679999997,1.370201790332794,0.0062830750830471516,1.9541131138801575
6740,3235680,288,18.04179931,1.3718302965164184,0.00461418479681015,9.742509061098099
6760,3245280,288,14.735060969999997,1.3720610022544861,-0.004384857881814241,5.086006927490234
6780,3254880,288,13.40539653,1.3724465489387512,0.004588339477777481,21.5587719976902
6800,3264480,288,18.984224859999998,1.371061670780182,-0.004772026091814041,1.8756547689437866
6820,3274080,288,15.92330771,1.3703521847724915,-0.0008450359106063843,5.011677002906799
6840,3283680,288,13.201679050000003,1.3705844283103943,-0.0018628433346748352,9.278351974487304
6860,3293280,288,17.45937022,1.3695653676986694,-0.0037188511341810226,21.800268097221853
6880,3302880,288,14.675671979999999,1.3692453980445862,0.00104062482714653,38.84360179901123
6900,3312480,288,12.666708779999999,1.3687592148780823,-0.0067969394847750665,0.9174628958106041
6920,3322080,288,14.082492959999998,1.369238293170929,-0.0039167560171335936,1.2161561667919158
6940,3331680,288,17.872085530000003,1.3682406425476075,0.0002920083701610565,25.527002584934234
6960,3341280,288,11.66614917,1.3680044770240785,-0.0034219639375805853,27.48624439239502
6980,3350880,288,15.811337700000001,1.3674513101577759,-0.009556678868830205,0.5960958957672119
